"Time","Acclima Soil.EC_BULK.1.1","Acclima Soil.EC_PORE.1.1","Acclima Soil.Permitivity.1.1","Acclima Soil.Temperature.1.1","Acclima Soil.VWC.1.1","Kestrel.ALS.Blue.15","Kestrel.ALS.Clear.15","Kestrel.ALS.Green.15","Kestrel.ALS.IR.15","Kestrel.ALS.Red.15","Latitude","Longitude","Talon-Aux.PORT_1.0.3","Talon-Aux.PORT_1.1.3","Talon-Aux.PORT_1.2.3","Talon-Aux.PORT_1.3.3","Talon-Aux.PORT_2.0.3","Talon-Aux.PORT_2.1.3","Talon-Aux.PORT_2.2.3","Talon-Aux.PORT_2.3.3","Talon-Aux.PORT_3.0.3","Talon-Aux.PORT_3.1.3","Talon-Aux.PORT_3.2.3","Talon-Aux.PORT_3.3.3","Talon-Aux.START.3","Talon-Aux.STOP.3","Talon-SDI12.Apogee."
2024-07-01 09:38:05,0.000,0.000,1.600,25.800,0.000,1269.294,2135.438,1274.667,1024.160,615.610,,,16.125,210.422,0.000,0.000,16.125,209.099,0.000,0.000,16.688,209.694,0.000,0.000,0.000,1719844685.000,0.522
2024-07-01 09:39:03,0.000,0.000,1.700,25.900,0.000,1436.118,2591.842,1546.769,1152.840,756.951,,,320.594,256.128,0.000,0.000,323.281,257.478,0.000,0.000,260.250,248.979,0.000,0.000,1719844685.000,1719844743.000,0.524
2024-07-01 09:40:02,0.000,0.000,1.400,26.300,0.000,1616.471,2480.579,1534.615,1115.040,744.293,,,221.328,14.705,0.000,0.000,226.188,15.289,0.000,0.000,142.203,9.334,0.000,0.000,1719844743.000,1719844802.000,0.525
2024-07-01 09:41:02,0.000,0.000,1.400,26.400,0.000,1381.177,2289.544,1359.282,888.480,659.219,,,13.500,209.285,0.000,0.000,14.063,208.134,0.000,0.000,10.125,205.910,0.000,0.000,1719844802.000,1719844862.000,0.524
2024-07-01 09:42:02,0.000,0.000,1.100,26.400,0.000,1425.882,2314.316,1466.974,1121.280,686.244,,,321.125,256.121,0.000,0.000,324.250,257.523,0.000,0.000,237.203,16.240,0.000,0.000,1719844862.000,1719844922.000,0.519
2024-07-01 09:43:02,0.000,0.000,1.100,26.100,0.000,1572.441,2632.158,1634.462,1142.760,797.268,,,215.313,14.231,0.000,0.000,220.375,14.847,0.000,0.000,12.000,207.381,0.000,0.000,1719844922.000,1719844982.000,0.518
2024-07-01 09:43:58,0.000,0.000,1.100,25.700,0.000,1533.971,2542.632,1561.385,1083.000,756.951,,,17.625,212.310,0.000,0.000,18.188,211.153,0.000,0.000,235.828,16.121,0.000,0.000,1719844982.000,1719845038.000,0.515
2024-07-01 09:44:58,0.000,0.000,1.100,25.200,0.000,1489.941,2451.842,1496.769,1034.880,720.366,,,318.656,255.860,0.000,0.000,321.906,257.297,0.000,0.000,12.375,207.973,0.000,0.000,1719845038.000,1719845098.000,0.514
2024-07-01 09:45:58,0.000,0.000,1.100,24.600,0.000,1459.323,2360.947,1439.538,954.960,686.781,,,221.938,14.691,0.000,0.000,226.656,15.269,0.000,0.000,241.313,16.494,0.000,0.000,1719845098.000,1719845158.000,0.514
2024-07-01 10:34:36,,,,,,,,,,,44.983,-93.185,,,,,,,,,,,,,,,
2024-07-01 10:35:00,0.000,0.000,1.100,24.300,0.000,6.945,19.175,13.821,0.710,8.277,,,18.750,216.668,0.000,0.000,18.375,215.290,0.000,0.000,18.750,215.638,0.000,0.000,1719848082.000,1719848100.000,0.507
2024-07-01 10:35:48,0.000,0.000,1.100,24.200,0.000,7.017,19.174,13.831,0.703,8.267,,,338.063,260.854,0.000,0.000,339.719,262.092,0.000,0.000,292.750,256.167,0.000,0.000,1719848100.000,1719848148.000,0.507
2024-07-01 10:36:47,0.000,0.000,1.100,24.100,0.000,7.043,19.233,13.858,0.738,8.296,,,226.844,14.837,0.000,0.000,231.000,15.364,0.000,0.000,160.813,10.492,0.000,0.000,1719848148.000,1719848207.000,0.518
2024-07-01 10:37:47,0.000,0.000,1.100,24.000,0.000,7.151,19.495,14.056,0.748,8.399,,,13.125,213.466,0.000,0.000,13.500,212.353,0.000,0.000,10.313,210.652,0.000,0.000,1719848207.000,1719848267.000,0.519
2024-07-01 10:38:47,0.000,0.000,1.100,23.900,0.000,7.158,19.516,14.076,0.758,8.412,,,332.313,260.055,0.000,0.000,334.813,261.405,0.000,0.000,273.563,253.310,0.000,0.000,1719848267.000,1719848327.000,0.515
2024-07-01 10:39:47,0.000,0.000,1.100,23.800,0.000,7.106,19.320,13.960,0.740,8.340,,,226.938,14.846,0.000,0.000,230.984,15.359,0.000,0.000,160.734,10.480,0.000,0.000,1719848327.000,1719848387.000,0.514
2024-07-01 10:40:47,0.000,0.000,1.100,23.800,0.000,7.022,19.177,13.804,0.726,8.272,,,13.313,213.800,0.000,0.000,13.500,212.694,0.000,0.000,10.313,210.898,0.000,0.000,1719848387.000,1719848447.000,0.518
2024-07-01 10:41:47,0.000,0.000,1.100,23.700,0.000,6.885,18.635,13.479,0.715,8.051,,,332.688,260.223,0.000,0.000,335.094,261.565,0.000,0.000,274.500,253.567,0.000,0.000,1719848447.000,1719848507.000,0.511
2024-07-01 10:42:47,0.000,0.000,1.100,23.700,0.000,6.904,18.792,13.559,0.716,8.098,,,227.266,14.867,0.000,0.000,231.234,15.371,0.000,0.000,161.500,10.525,0.000,0.000,1719848507.000,1719848567.000,0.520
2024-07-01 10:43:47,0.000,0.000,1.100,23.600,0.000,6.846,18.957,13.505,0.729,8.164,,,13.125,213.819,0.000,0.000,13.313,212.681,0.000,0.000,10.313,211.006,0.000,0.000,1719848567.000,1719848627.000,0.507
2024-07-01 10:44:47,0.000,0.000,1.100,23.500,0.000,8.094,20.081,14.649,0.983,8.275,,,333.156,260.323,0.000,0.000,335.563,261.664,0.000,0.000,275.094,253.700,0.000,0.000,1719848627.000,1719848687.000,0.507
2024-07-01 10:45:25,0.000,0.000,1.100,23.500,0.000,6.972,19.002,13.683,0.745,8.184,,,231.734,15.193,0.000,0.000,234.609,15.618,0.000,0.000,191.797,12.686,0.000,0.000,1719848687.000,1719848725.000,0.508
2024-07-01 10:46:25,0.000,0.000,1.100,23.400,0.000,6.956,18.924,13.649,0.721,8.155,,,13.500,214.014,0.000,0.000,13.688,212.827,0.000,0.000,10.500,211.090,0.000,0.000,1719848725.000,1719848785.000,0.520
2024-07-01 10:47:25,0.000,0.000,1.100,23.400,0.000,6.913,18.885,13.598,0.743,8.114,,,333.375,260.424,0.000,0.000,335.594,261.770,0.000,0.000,275.813,253.878,0.000,0.000,1719848785.000,1719848845.000,0.519
2024-07-01 10:48:25,0.000,0.000,1.100,23.300,0.000,7.003,19.117,13.777,0.741,8.232,,,227.547,14.889,0.000,0.000,231.500,15.394,0.000,0.000,162.469,10.584,0.000,0.000,1719848845.000,1719848905.000,0.510
2024-07-01 10:49:25,0.000,0.000,1.100,23.300,0.000,7.007,19.110,13.793,0.728,8.226,,,13.313,214.036,0.000,0.000,13.500,212.854,0.000,0.000,10.313,211.154,0.000,0.000,1719848905.000,1719848965.000,0.519
2024-07-01 10:55:38,,,,,,,,,,,44.983,-93.185,,,,,,,,,,,,,,,
2024-07-01 10:56:08,0.000,0.000,1.200,24.200,0.000,11805.529,13796.842,15773.846,9769.440,6539.708,,,22.500,204.857,0.000,0.000,22.125,203.187,0.000,0.000,23.250,204.277,0.000,0.000,1719849350.000,1719849368.000,0.553
2024-07-01 10:56:46,0.000,0.000,1.200,25.000,0.000,11351.647,13796.842,14937.538,9877.920,6594.732,,,295.156,244.534,0.000,0.000,296.906,245.588,0.000,0.000,213.625,14.956,0.000,0.000,1719849368.000,1719849406.000,0.570
2024-07-01 10:57:46,0.000,0.000,1.200,26.300,0.000,11056.941,13796.842,13626.770,9264.000,7058.049,,,181.188,12.146,0.000,0.000,188.656,12.894,0.000,0.000,11.250,191.593,0.000,0.000,1719849406.000,1719849466.000,0.609
2024-07-01 10:58:46,0.000,0.000,1.200,27.600,0.000,10881.177,13796.842,14665.538,9287.040,7829.268,,,23.063,199.113,0.000,0.000,24.938,198.945,0.000,0.000,65.055,3.872,0.000,0.000,1719849466.000,1719849526.000,0.637
