Time,Acclima Soil.EC_BULK.1.1,Acclima Soil.EC_PORE.1.1,Acclima Soil.Permitivity.1.1,Acclima Soil.Temperature.1.1,Acclima Soil.VWC.1.1,Kestrel.ALS.Blue.15,Kestrel.ALS.Clear.15,Kestrel.ALS.Green.15,Kestrel.ALS.IR.15,Kestrel.ALS.Red.15,Latitude,Longitude,Talon-Aux.PORT_1.0.3,Talon-Aux.PORT_1.1.3,Talon-Aux.PORT_1.2.3,Talon-Aux.PORT_1.3.3,Talon-Aux.PORT_2.0.3,Talon-Aux.PORT_2.1.3,Talon-Aux.PORT_2.2.3,Talon-Aux.PORT_2.3.3,Talon-Aux.PORT_3.0.3,Talon-Aux.PORT_3.1.3,Talon-Aux.PORT_3.2.3,Talon-Aux.PORT_3.3.3,Talon-Aux.START.3,Talon-Aux.STOP.3,Talon-SDI12.Apogee.
9:18:12 AM,0,0,1.2,24,0,18.022,60.86,38.391,2.94,26.04,,,19.313,216.246,0,0,20.25,218.528,0,0,18.188,216.114,0,0,1717769875,1717769892,0.471
9:19:54 AM,0,0,1.2,24.1,0,20.026,52.822,39.989,2.665,24.409,,,326.313,255.376,0,0,327.531,256.177,0,0,191.516,11.919,0,0,1717769892,1717769994,0.48
9:21:56 AM,0,0,1.2,24.1,0,24.272,60.989,45.285,3.125,26.155,,,18.75,215.531,0,0,19.688,217.828,0,0,15,213.488,0,0,1717770099,1717770116,0.472
9:24:04 AM,0,0,1.5,24,0,22.114,56.702,42.343,2.84,25.378,,,320.406,254.334,0,0,321.563,255.143,0,0,150.125,9.087,0,0,1717770116,1717770244,0.475
9:25:55 AM,0,0,1.1,24,0,56.588,97.936,63.173,4.05,29.424,,,18.938,215.312,0,0,19.688,217.523,0,0,14.813,213.297,0,0,1717770337,1717770355,0.474
9:27:53 AM,0,0,1.1,24.1,0,60.724,102.443,65.093,4.29,29.905,,,323.281,254.78,0,0,324.406,255.577,0,0,157.906,9.602,0,0,1717770355,1717770473,0.475
9:29:41 AM,0,0,1.1,24.1,0,61.04,103.741,66.346,4.325,30.003,,,18.375,215.442,0,0,19.313,217.295,0,0,14.813,213.766,0,0,1717770563,1717770581,0.475
9:34:33 AM,0,0,1.2,24.9,0,33.064,71.859,46.811,3.81,25.268,,,18.938,215.542,0,0,19.688,217.797,0,0,18.375,215.777,0,0,1717770856,1717770873,0.479
9:36:41 AM,0,0,1.1,25,0,48.21,54.478,55.702,3.948,25.245,,,323.406,254.677,0,0,324.813,255.518,0,0,154.234,9.359,0,0,1717770873,1717771001,0.482
9:38:32 AM,0,0,1.1,24.8,0,53.085,93.958,61.221,4.25,28.726,,,18.938,215.243,0,0,19.875,217.462,0,0,15,213.202,0,0,1717771095,1717771112,0.483
9:40:40 AM,0,0,1.1,24.6,0,17.577,44.532,32.399,2.765,19.584,,,321.281,254.251,0,0,322.281,254.987,0,0,147.063,8.875,0,0,1717771112,1717771240,0.485
9:42:32 AM,0,0,1.1,24.6,0,41.801,35.929,50.03,3.694,19.019,,,18.938,215.032,0,0,19.688,217.247,0,0,15,212.984,0,0,1717771334,1717771352,0.487
9:43:56 AM,0,0,1.1,24.7,0,43.335,80.605,52.362,3.98,26.271,,,329.125,255.381,0,0,330.5,256.19,0,0,202.75,12.764,0,0,1717771352,1717771436,0.487
9:45:44 AM,0,0,1.1,24.6,0,44.754,84.798,56.606,3.9,27.841,,,18.75,214.887,0,0,19.688,217.184,0,0,15,213.034,0,0,1717771527,1717771544,0.488
9:46:30 AM,0,0,1.1,24.5,0,44.651,83.768,55.224,3.88,27.637,,,339.125,256.836,0,0,340.938,257.708,0,0,286,250.829,0,0,1717771544,1717771590,0.487
