Time,Acclima Soil.EC_BULK.1.1,Acclima Soil.EC_PORE.1.1,Acclima Soil.Permitivity.1.1,Acclima Soil.Temperature.1.1,Acclima Soil.VWC.1.1,Kestrel.ALS.Blue.15,Kestrel.ALS.Clear.15,Kestrel.ALS.Green.15,Kestrel.ALS.IR.15,Kestrel.ALS.Red.15,Latitude,Longitude,Talon-Aux.PORT_1.0.3,Talon-Aux.PORT_1.1.3,Talon-Aux.PORT_1.2.3,Talon-Aux.PORT_1.3.3,Talon-Aux.PORT_2.0.3,Talon-Aux.PORT_2.1.3,Talon-Aux.PORT_2.2.3,Talon-Aux.PORT_2.3.3,Talon-Aux.PORT_3.0.3,Talon-Aux.PORT_3.1.3,Talon-Aux.PORT_3.2.3,Talon-Aux.PORT_3.3.3,Talon-Aux.START.3,Talon-Aux.STOP.3,Talon-SDI12.Apogee.
7/1/2024 9:38,0,0,1.6,25.8,0,1269.294,2135.438,1274.667,1024.16,615.61,,,16.125,210.422,0,0,16.125,209.099,0,0,16.688,209.694,0,0,0,1719844685,0.522
7/1/2024 9:39,0,0,1.7,25.9,0,1436.118,2591.842,1546.769,1152.84,756.951,,,320.594,256.128,0,0,323.281,257.478,0,0,260.25,248.979,0,0,1719844685,1719844743,0.524
7/1/2024 9:40,0,0,1.4,26.3,0,1616.471,2480.579,1534.615,1115.04,744.293,,,221.328,14.705,0,0,226.188,15.289,0,0,142.203,9.334,0,0,1719844743,1719844802,0.525
7/1/2024 9:41,0,0,1.4,26.4,0,1381.177,2289.544,1359.282,888.48,659.219,,,13.5,209.285,0,0,14.063,208.134,0,0,10.125,205.91,0,0,1719844802,1719844862,0.524
7/1/2024 9:42,0,0,1.1,26.4,0,1425.882,2314.316,1466.974,1121.28,686.244,,,321.125,256.121,0,0,324.25,257.523,0,0,237.203,16.24,0,0,1719844862,1719844922,0.519
7/1/2024 9:43,0,0,1.1,26.1,0,1572.441,2632.158,1634.462,1142.76,797.268,,,215.313,14.231,0,0,220.375,14.847,0,0,12,207.381,0,0,1719844922,1719844982,0.518
7/1/2024 9:43,0,0,1.1,25.7,0,1533.971,2542.632,1561.385,1083,756.951,,,17.625,212.31,0,0,18.188,211.153,0,0,235.828,16.121,0,0,1719844982,1719845038,0.515
7/1/2024 9:44,0,0,1.1,25.2,0,1489.941,2451.842,1496.769,1034.88,720.366,,,318.656,255.86,0,0,321.906,257.297,0,0,12.375,207.973,0,0,1719845038,1719845098,0.514
7/1/2024 9:45,0,0,1.1,24.6,0,1459.323,2360.947,1439.538,954.96,686.781,,,221.938,14.691,0,0,226.656,15.269,0,0,241.313,16.494,0,0,1719845098,1719845158,0.514
7/1/2024 10:34,,,,,,,,,,,44.983,-93.185,,,,,,,,,,,,,,,
